state,d_month,year,month_only,month,totals,handguns_total,long_guns_total,other_total
Hawaii,2017-06-01,2017,06,2017-06,1083,1,0,1082
Idaho,2017-06-01,2017,06,2017-06,20241,4104,4202,11935
Illinois,2017-06-01,2017,06,2017-06,113889,21394,9491,83004
Indiana,2017-06-01,2017,06,2017-06,49689,18474,10187,21028
Iowa,2017-06-01,2017,06,2017-06,8352,115,1697,6540
Kansas,2017-06-01,2017,06,2017-06,13485,6281,4159,3045
Kentucky,2017-06-01,2017,06,2017-06,392002,10722,6701,374579
Louisiana,2017-06-01,2017,06,2017-06,23497,12882,7202,3413
Maine,2017-06-01,2017,06,2017-06,6474,3202,2338,934
Mariana Islands,2017-06-01,2017,06,2017-06,12,9,2,1
Maryland,2017-06-01,2017,06,2017-06,10945,4075,4114,2756
Massachusetts,2017-06-01,2017,06,2017-06,15841,5679,2319,7843
Michigan,2017-06-01,2017,06,2017-06,37088,11300,7889,17899
Minnesota,2017-06-01,2017,06,2017-06,44775,6510,7901,30364
Mississippi,2017-06-01,2017,06,2017-06,17154,9579,5139,2436
Missouri,2017-06-01,2017,06,2017-06,36752,21281,12587,2884
Montana,2017-06-01,2017,06,2017-06,9901,3526,4474,1901
Nebraska,2017-06-01,2017,06,2017-06,4265,112,1316,2837
Nevada,2017-06-01,2017,06,2017-06,10602,4783,2463,3356
New Hampshire,2017-06-01,2017,06,2017-06,9184,4898,2440,1846
New Jersey,2017-06-01,2017,06,2017-06,7790,5022,2586,182
New Mexico,2017-06-01,2017,06,2017-06,11398,5659,3916,1823
New York,2017-06-01,2017,06,2017-06,27677,11221,11632,4824
North Carolina,2017-06-01,2017,06,2017-06,39169,3740,11587,23842
North Dakota,2017-06-01,2017,06,2017-06,4939,1528,2080,1331
Ohio,2017-06-01,2017,06,2017-06,53164,25125,14238,13801
Oklahoma,2017-06-01,2017,06,2017-06,24632,13793,9102,1737
Oregon,2017-06-01,2017,06,2017-06,27103,13717,9256,4130
Pennsylvania,2017-06-01,2017,06,2017-06,76201,41905,11219,23077
Puerto Rico,2017-06-01,2017,06,2017-06,1631,1345,218,68
Rhode Island,2017-06-01,2017,06,2017-06,1899,1076,606,217
South Carolina,2017-06-01,2017,06,2017-06,32995,12601,5125,15269
South Dakota,2017-06-01,2017,06,2017-06,6704,2372,2675,1657
Tennessee,2017-06-01,2017,06,2017-06,52959,23425,11566,17968
Texas,2017-06-01,2017,06,2017-06,118091,55767,33091,29233
Utah,2017-06-01,2017,06,2017-06,22138,3736,3396,15006
Vermont,2017-06-01,2017,06,2017-06,2382,1296,974,112
Virgin Islands,2017-06-01,2017,06,2017-06,153,25,2,126
Virginia,2017-06-01,2017,06,2017-06,36838,22436,12715,1687
Washington,2017-06-01,2017,06,2017-06,46023,19172,11491,15360
West Virginia,2017-06-01,2017,06,2017-06,14498,6670,5374,2454
Wisconsin,2017-06-01,2017,06,2017-06,36267,13676,10259,12332
Wyoming,2017-06-01,2017,06,2017-06,3975,1695,1721,559
Alabama,2017-05-01,2017,05,2017-05,33331,8387,5524,19420
Alaska,2017-05-01,2017,05,2017-05,6442,3126,2678,638
Arizona,2017-05-01,2017,05,2017-05,28734,13258,7131,8345
Arkansas,2017-05-01,2017,05,2017-05,16749,6165,5233,5351
California,2017-05-01,2017,05,2017-05,129307,42875,24940,61492
Colorado,2017-05-01,2017,05,2017-05,36008,17296,11214,7498
Connecticut,2017-05-01,2017,05,2017-05,16149,5951,1862,8336
Delaware,2017-05-01,2017,05,2017-05,4012,1859,1143,1010
District of Columbia,2017-05-01,2017,05,2017-05,82,66,4,12
Florida,2017-05-01,2017,05,2017-05,96556,52958,19662,23936
Georgia,2017-05-01,2017,05,2017-05,36905,13836,7355,15714
Guam,2017-05-01,2017,05,2017-05,157,93,49,15
Hawaii,2017-05-01,2017,05,2017-05,1117,0,3,1114
Idaho,2017-05-01,2017,05,2017-05,13065,3613,4133,5319
Illinois,2017-05-01,2017,05,2017-05,121746,22244,9252,90250
Indiana,2017-05-01,2017,05,2017-05,54347,18247,9920,26180
Iowa,2017-05-01,2017,05,2017-05,10232,223,1813,8196
Kansas,2017-05-01,2017,05,2017-05,12337,5596,4134,2607
Kentucky,2017-05-01,2017,05,2017-05,391740,10312,6691,374737
Louisiana,2017-05-01,2017,05,2017-05,21311,11396,7061,2854
Maine,2017-05-01,2017,05,2017-05,7200,3353,2686,1161
Mariana Islands,2017-05-01,2017,05,2017-05,12,10,1,1
Maryland,2017-05-01,2017,05,2017-05,11660,4628,4407,2625
Massachusetts,2017-05-01,2017,05,2017-05,16651,5169,2575,8907
Michigan,2017-05-01,2017,05,2017-05,38548,10594,7299,20655
Minnesota,2017-05-01,2017,05,2017-05,55570,8134,7959,39477
Mississippi,2017-05-01,2017,05,2017-05,15680,8403,4926,2351
Missouri,2017-05-01,2017,05,2017-05,34965,19884,12457,2624
Montana,2017-05-01,2017,05,2017-05,9418,3119,4458,1841
Nebraska,2017-05-01,2017,05,2017-05,5025,120,1323,3582
Nevada,2017-05-01,2017,05,2017-05,9803,4882,2428,2493
New Hampshire,2017-05-01,2017,05,2017-05,8868,4677,2496,1695
New Jersey,2017-05-01,2017,05,2017-05,8694,5569,2931,194
New Mexico,2017-05-01,2017,05,2017-05,11291,5627,3824,1840
New York,2017-05-01,2017,05,2017-05,31294,12121,13164,6009
North Carolina,2017-05-01,2017,05,2017-05,39413,3007,10794,25612
North Dakota,2017-05-01,2017,05,2017-05,4654,1491,1992,1171
Ohio,2017-05-01,2017,05,2017-05,56229,26481,13530,16218
Oklahoma,2017-05-01,2017,05,2017-05,22693,12329,8720,1644
Oregon,2017-05-01,2017,05,2017-05,26466,13333,9143,3990
Pennsylvania,2017-05-01,2017,05,2017-05,79725,43150,11214,25361
Puerto Rico,2017-05-01,2017,05,2017-05,1600,1283,219,98
Rhode Island,2017-05-01,2017,05,2017-05,1883,1066,552,265
South Carolina,2017-05-01,2017,05,2017-05,31248,10296,4757,16195
South Dakota,2017-05-01,2017,05,2017-05,7004,2502,2771,1731
Tennessee,2017-05-01,2017,05,2017-05,57763,22237,10752,24774
Texas,2017-05-01,2017,05,2017-05,109732,48453,31846,29433
Utah,2017-05-01,2017,05,2017-05,23844,3633,3526,16685
Vermont,2017-05-01,2017,05,2017-05,2577,1309,1133,135
Virgin Islands,2017-05-01,2017,05,2017-05,79,21,1,57
Virginia,2017-05-01,2017,05,2017-05,36007,21704,12186,2117
Washington,2017-05-01,2017,05,2017-05,45816,18181,11175,16460
West Virginia,2017-05-01,2017,05,2017-05,15085,6908,5439,2738
Wisconsin,2017-05-01,2017,05,2017-05,37888,14266,9730,13892
Wyoming,2017-05-01,2017,05,2017-05,4128,1727,1748,653
Alabama,2017-04-01,2017,04,2017-04,32652,8195,5666,18791
Alaska,2017-04-01,2017,04,2017-04,6983,3220,3018,745
Arizona,2017-04-01,2017,04,2017-04,32052,14661,8106,9285
Arkansas,2017-04-01,2017,04,2017-04,16452,6556,5435,4461
California,2017-04-01,2017,04,2017-04,132190,45691,25243,61256
Colorado,2017-04-01,2017,04,2017-04,39989,19630,12444,7915
Connecticut,2017-04-01,2017,04,2017-04,16406,6557,2063,7786
Delaware,2017-04-01,2017,04,2017-04,4296,2123,1299,874
District of Columbia,2017-04-01,2017,04,2017-04,104,68,1,35
Florida,2017-04-01,2017,04,2017-04,103641,55836,20590,27215
Georgia,2017-04-01,2017,04,2017-04,37829,14794,7680,15355
Guam,2017-04-01,2017,04,2017-04,147,93,39,15
Hawaii,2017-04-01,2017,04,2017-04,888,3,0,885
Idaho,2017-04-01,2017,04,2017-04,15234,4243,4564,6427
Illinois,2017-04-01,2017,04,2017-04,135507,25414,10416,99677
Indiana,2017-04-01,2017,04,2017-04,63298,21574,11824,29900
Iowa,2017-04-01,2017,04,2017-04,13017,290,2401,10326
